date,state,death,deathConfirmed,deathIncrease,deathProbable,hospitalized,hospitalizedCumulative,hospitalizedCurrently,hospitalizedIncrease,inIcuCumulative,inIcuCurrently,negative,negativeIncrease,negativeTestsAntibody,negativeTestsPeopleAntibody,negativeTestsViral,onVentilatorCumulative,onVentilatorCurrently,positive,positiveCasesViral,positiveIncrease,positiveScore,positiveTestsAntibody,positiveTestsAntigen,positiveTestsPeopleAntibody,positiveTestsPeopleAntigen,positiveTestsViral,recovered,totalTestEncountersViral,totalTestEncountersViralIncrease,totalTestResults,totalTestResultsIncrease,totalTestsAntibody,totalTestsAntigen,totalTestsPeopleAntibody,totalTestsPeopleAntigen,totalTestsPeopleViral,totalTestsPeopleViralIncrease,totalTestsViral,totalTestsViralIncrease
2021-03-07,AK,305,,0,,1293.0,1293.0,33.0,0.0,,,,0.0,,,1660758.0,,2.0,56886.0,,0.0,0.0,,,,,68693.0,,,0.0,1731628.0,0.0,,,,,,0.0,1731628.0,0.0
2021-03-07,AL,10148,7963.0,-1,2185.0,45976.0,45976.0,494.0,0.0,2676.0,,1931711.0,2087.0,,,,1515.0,,499819.0,392077.0,408.0,0.0,,,,,,295690.0,,0.0,2323788.0,2347.0,,,119757.0,,2323788.0,2347.0,,0.0
2021-03-07,AR,5319,4308.0,22,1011.0,14926.0,14926.0,335.0,11.0,,141.0,2480716.0,3267.0,,,2480716.0,1533.0,65.0,324818.0,255726.0,165.0,0.0,,,,81803.0,,315517.0,,0.0,2736442.0,3380.0,,,,481311.0,,0.0,2736442.0,3380.0
2021-03-07,AS,0,,0,,,,,0.0,,,2140.0,0.0,,,,,,0.0,0.0,0.0,0.0,,,,,,,,0.0,2140.0,0.0,,,,,,0.0,2140.0,0.0
2021-03-07,AZ,16328,14403.0,5,1925.0,57907.0,57907.0,963.0,44.0,,273.0,3073010.0,13678.0,,,,,143.0,826454.0,769935.0,1335.0,0.0,,,,,,,,0.0,7908105.0,45110.0,580569.0,,444089.0,,3842945.0,14856.0,7908105.0,45110.0
2021-03-07,CA,54124,,258,,,,4291.0,0.0,,1159.0,,0.0,,,,,,3501394.0,3501394.0,3816.0,0.0,,,,,,,,0.0,49646014.0,133186.0,,,,,,0.0,49646014.0,133186.0
2021-03-07,CO,5989,5251.0,3,735.0,23904.0,23904.0,326.0,18.0,,,2199458.0,0.0,369995.0,,,,,436602.0,410976.0,840.0,0.0,63087.0,,,,,,6415123.0,38163.0,6415123.0,38163.0,435053.0,,,,2616541.0,6107.0,,0.0
2021-03-07,CT,7704,6327.0,0,1377.0,,,428.0,0.0,,,,0.0,,,6188566.0,,,285330.0,265709.0,0.0,0.0,,22245.0,,,323284.0,,,0.0,6520366.0,0.0,,396680.0,,,,0.0,6520366.0,0.0
2021-03-07,DC,1030,,0,,,,150.0,0.0,,38.0,,0.0,,,,,16.0,41419.0,,146.0,0.0,,,,,,29570.0,1261363.0,5726.0,1261363.0,5726.0,,,,,441942.0,1149.0,,0.0
2021-03-07,DE,1473,1337.0,9,136.0,,,104.0,0.0,,13.0,545070.0,917.0,,,,,,88354.0,83621.0,215.0,0.0,,,,,91873.0,,1431942.0,5867.0,1431942.0,5867.0,,,,,633424.0,1132.0,,0.0
